instrument,fa_lo,fa_hi,n_all,n_assoc,sum_prob,exposure_s
SVOM/GRM,4.161607e-55,1.349283e-54,0,0,0.000000,12114207.0
SVOM/GRM,1.349283e-54,4.374666e-54,0,0,0.000000,12114207.0
SVOM/GRM,4.374666e-54,1.418361e-53,0,0,0.000000,12114207.0
SVOM/GRM,1.418361e-53,4.598633e-53,0,0,0.000000,12114207.0
SVOM/GRM,4.598633e-53,1.490976e-52,0,0,0.000000,12114207.0
SVOM/GRM,1.490976e-52,4.834066e-52,0,0,0.000000,12114207.0
SVOM/GRM,4.834066e-52,1.567309e-51,0,0,0.000000,12114207.0
SVOM/GRM,1.567309e-51,5.081552e-51,0,0,0.000000,12114207.0
SVOM/GRM,5.081552e-51,1.647549e-50,0,0,0.000000,12114207.0
SVOM/GRM,1.647549e-50,5.341709e-50,0,0,0.000000,12114207.0
SVOM/GRM,5.341709e-50,1.731897e-49,0,0,0.000000,12114207.0
SVOM/GRM,1.731897e-49,5.615185e-49,0,0,0.000000,12114207.0
SVOM/GRM,5.615185e-49,1.820564e-48,0,0,0.000000,12114207.0
SVOM/GRM,1.820564e-48,5.902662e-48,0,0,0.000000,12114207.0
SVOM/GRM,5.902662e-48,1.913770e-47,0,0,0.000000,12114207.0
SVOM/GRM,1.913770e-47,6.204857e-47,1,0,0.004347,12114207.0
SVOM/GRM,6.204857e-47,2.011748e-46,0,0,0.000000,12114207.0
SVOM/GRM,2.011748e-46,6.522522e-46,0,0,0.000000,12114207.0
SVOM/GRM,6.522522e-46,2.114743e-45,0,0,0.000000,12114207.0
SVOM/GRM,2.114743e-45,6.856452e-45,0,0,0.000000,12114207.0
SVOM/GRM,6.856452e-45,2.223010e-44,0,0,0.000000,12114207.0
SVOM/GRM,2.223010e-44,7.207477e-44,1,1,0.003937,12114207.0
SVOM/GRM,7.207477e-44,2.336819e-43,1,1,0.008125,12114207.0
SVOM/GRM,2.336819e-43,7.576473e-43,0,0,0.000000,12114207.0
SVOM/GRM,7.576473e-43,2.456456e-42,0,0,0.000000,12114207.0
SVOM/GRM,2.456456e-42,7.964361e-42,1,0,0.002706,12114207.0
SVOM/GRM,7.964361e-42,2.582218e-41,1,0,0.000328,12114207.0
SVOM/GRM,2.582218e-41,8.372107e-41,0,0,0.000000,12114207.0
SVOM/GRM,8.372107e-41,2.714418e-40,0,0,0.000000,12114207.0
SVOM/GRM,2.714418e-40,8.800728e-40,0,0,0.000000,12114207.0
SVOM/GRM,8.800728e-40,2.853386e-39,0,0,0.000000,12114207.0
SVOM/GRM,2.853386e-39,9.251293e-39,0,0,0.000000,12114207.0
SVOM/GRM,9.251293e-39,2.999469e-38,0,0,0.000000,12114207.0
SVOM/GRM,2.999469e-38,9.724925e-38,0,0,0.000000,12114207.0
SVOM/GRM,9.724925e-38,3.153030e-37,0,0,0.000000,12114207.0
SVOM/GRM,3.153030e-37,1.022281e-36,1,0,0.001641,12114207.0
SVOM/GRM,1.022281e-36,3.314454e-36,0,0,0.000000,12114207.0
SVOM/GRM,3.314454e-36,1.074618e-35,0,0,0.000000,12114207.0
SVOM/GRM,1.074618e-35,3.484142e-35,0,0,0.000000,12114207.0
SVOM/GRM,3.484142e-35,1.129634e-34,0,0,0.000000,12114207.0
SVOM/GRM,1.129634e-34,3.662517e-34,0,0,0.000000,12114207.0
SVOM/GRM,3.662517e-34,1.187467e-33,0,0,0.000000,12114207.0
SVOM/GRM,1.187467e-33,3.850025e-33,3,0,0.014705,12114207.0
SVOM/GRM,3.850025e-33,1.248261e-32,1,1,0.005328,12114207.0
SVOM/GRM,1.248261e-32,4.047132e-32,2,0,0.003524,12114207.0
SVOM/GRM,4.047132e-32,1.312167e-31,0,0,0.000000,12114207.0
