start,fa,lon,lat,phase,n_core,dur_ms,pi_core_med,pi_bkg_med,pi_med_ratio,acd_core,acd_bkg,det_frac_max,rate_bkg,n_det_hit
2026-05-20T21:06:03.398919,2.5158881332089564e-12,-89.70424840469975,2.6357038807429554,0.398920,30,1.8280,85,32,2.656,0.0000,0.0091,0.367,3528,3
2026-05-25T06:03:49.374180,3.4141977587950393e-14,104.85276474550236,2.1116132705999835,0.374180,20,0.5300,105,32,3.281,0.0000,0.0090,0.400,3702,3
2026-05-29T16:40:16.011623,3.866085466150898e-06,-79.75766896667582,-1.75830762591658,0.011623,23,1.6980,53,33,1.606,0.0000,0.0078,0.478,3446,3
2026-06-09T02:13:11.066018,2.8312003861804387e-14,-103.65371524064182,10.004274126575154,0.066019,19,1.4800,100,30,3.333,0.0000,0.0075,0.368,4188,3
2026-06-15T00:58:57.367056,6.241391192666154e-07,24.69296990521665,4.594953212808758,0.367056,13,0.4270,101,30,3.367,0.0000,0.0074,0.538,3512,3
2026-06-19T05:59:12.539144,5.221456052133103e-13,115.76955079400084,4.755889966616591,0.539145,20,1.4490,64,34,1.897,0.0000,0.0104,0.500,3076,3
2026-06-29T08:40:10.016938,9.016205393080166e-08,114.22735531797416,25.49655738776644,0.016939,25,1.4170,65,46,1.413,0.0000,0.0091,0.480,3920,3
2026-07-07T09:57:23.311785,5.54479723002069e-10,-73.23346655610528,6.523763928644494,0.311786,21,0.5550,52,31,1.677,0.0000,0.0082,0.476,3738,3
2026-07-25T00:04:00.723653,1.3118251074727726e-15,105.55692274645428,5.098947612141624,0.723653,28,1.3800,72,32,2.250,0.0000,0.0075,0.393,3954,3
2026-08-02T08:14:05.921944,2.484546036244585e-07,-85.81062574472892,9.313220311866331,0.921945,10,0.0820,90,30,3.017,0.0000,0.0074,0.400,3872,3
2026-08-02T08:16:26.292195,2.636981477782099e-17,-78.66611434542595,5.1862406161022125,0.292196,26,0.9560,82,30,2.733,0.0000,0.0083,0.577,3681,3
2026-08-09T04:56:10.225795,4.404642159615631e-15,-83.40452421931752,7.703124201945403,0.225796,31,1.8491,84,30,2.800,0.0323,0.0079,0.581,3934,3
2026-08-16T01:07:19.025610,6.146803191906812e-14,166.92670490128168,22.826101752221525,0.025610,22,1.1449,50,32,1.578,0.0455,0.0081,0.364,3201,3
2026-08-16T01:34:32.359637,1.126779465090319e-17,-92.20780145507815,12.349878314878476,0.359638,26,0.5160,57,33,1.742,0.0000,0.0078,0.423,3380,3
2024-06-29T06:05:11.706698,6.659031800822452e-18,121.32427246754136,7.298679034307298,0.706698,33,1.4640,59,38,1.553,0.0000,0.0146,0.394,2984,3
2024-07-14T14:39:46.395873,1.9149482001494412e-10,113.90050465916974,19.527441576315233,0.395873,27,1.7770,57,36,1.583,0.0000,0.0103,0.407,3927,3
2024-07-23T22:45:06.286870,5.94226347155211e-24,78.2682729076118,-7.193752615245127,0.286870,27,1.6630,57,30,1.900,0.0000,0.0094,0.519,3636,3
2024-08-08T23:08:12.599097,6.355859299209896e-22,119.16583175322177,-2.132788565173253,0.599097,31,1.4970,47,34,1.382,0.0000,0.0165,0.419,2575,3
2024-08-15T17:36:57.621439,3.884823134913311e-06,-68.77233680034425,21.633374464089364,0.621439,15,0.9600,52,33,1.576,0.0000,0.0140,0.400,3224,3
2024-08-26T12:29:15.240817,2.113262480528045e-09,-95.66267168613896,27.75319296955256,0.240818,16,0.4820,64,35,1.843,0.0000,0.0108,0.500,3696,3
2024-09-08T08:17:33.568089,4.339176703540707e-27,-62.718480547894686,4.162479291585707,0.568090,35,1.1720,78,31,2.516,0.0000,0.0149,0.514,3224,3
2024-09-17T00:48:42.678083,1.2514616394253118e-13,-67.4009237303113,26.02986872105817,0.678083,23,0.9790,81,34,2.382,0.0000,0.0104,0.435,3330,3
2024-09-23T18:15:53.269102,4.9018389984880386e-15,-108.49749645083672,14.848189872373974,0.269103,23,0.5070,69,31,2.226,0.0000,0.0093,0.435,4070,3
2024-09-29T00:30:57.157640,1.0341301742574412e-16,125.357240585996,17.427036163509868,0.157640,29,0.8100,70,36,1.944,0.0000,0.0106,0.517,3314,3
2024-10-05T23:07:27.047883,1.8514907785418165e-18,82.59965437646676,11.369281653088548,0.047883,30,1.5450,103,38,2.724,0.0000,0.0098,0.333,4117,3
2024-10-15T04:46:07.671514,3.3802047337452804e-23,-74.9706160889698,8.435920940056592,0.671514,40,1.7400,54,31,1.742,0.0250,0.0112,0.500,3645,3
2024-10-21T14:33:00.629415,1.2000384544785928e-18,106.79275539862414,15.807656490709403,0.629415,28,0.9110,57,33,1.727,0.0000,0.0103,0.429,4159,3
2024-11-03T06:38:07.638466,4.3947142285004536e-11,118.36721552242714,8.514292111771715,0.638466,24,1.3400,36,35,1.029,0.0000,0.0145,0.375,2726,3
2024-11-14T23:59:18.545621,1.6651469562127648e-33,108.94181413485072,-4.554797085699524,0.545622,45,1.7710,53,34,1.559,0.0000,0.0162,0.467,2724,3
2024-11-24T00:44:11.918467,2.861959746086276e-07,30.203418595216,-5.521436027073076,0.918468,21,0.9940,49,42,1.167,0.0000,0.0085,0.381,5022,3
2024-12-02T12:24:26.098410,2.1482877817173124e-15,125.33290277636758,-18.946631563059448,0.098410,19,0.4780,108,30,3.600,0.0000,0.0117,0.579,3754,2
2024-12-02T12:26:01.574245,2.0758768150564243e-12,130.61012747622223,-16.600820887073898,0.574246,26,0.8870,68,30,2.283,0.0000,0.0114,0.538,3687,3
2024-12-17T04:58:48.746109,3.8077964453200154e-44,125.172838887926,-20.68006820561935,0.746109,49,1.8240,62,33,1.879,0.0000,0.0123,0.408,2842,3
2025-01-01T11:37:15.631989,1.0364576888467427e-53,160.17431862305,-12.389934324752756,0.631990,60,1.4440,43,34,1.265,0.0000,0.0102,0.417,3298,3
2025-01-06T08:48:21.203458,6.632716806706252e-20,-25.472082309934507,6.019362906968653,0.203458,39,1.8690,51,44,1.159,0.0000,0.0078,0.410,3921,3
2025-01-11T06:04:09.012297,5.3855723773080635e-21,164.14839874337653,-8.24077839357121,0.012297,37,1.6320,43,38,1.132,0.0000,0.0104,0.459,3221,3
2025-01-26T10:30:37.285961,3.867075767215074e-10,125.01769800799438,-14.125665028780327,0.285961,23,1.0510,60,31,1.935,0.0000,0.0166,0.435,2322,3
2025-02-11T18:55:43.434671,5.2487224586359285e-22,121.31976248708324,-17.6597931533768,0.434671,25,0.5160,50,30,1.667,0.0000,0.0110,0.440,2989,3
2025-02-20T14:43:23.116620,2.0836099948190635e-08,117.1463673112676,-16.39811692054479,0.116621,24,1.5890,55,33,1.667,0.0000,0.0116,0.375,2676,3
2025-03-04T14:28:23.279684,2.778133569484851e-22,26.077428042272565,-12.976697639051766,0.279685,33,1.2900,74,29,2.552,0.0000,0.0154,0.515,2209,3
2025-03-14T04:05:15.638756,2.797887606623187e-14,121.34760271259957,-17.151680586598967,0.638756,29,1.4550,29,34,0.853,0.0000,0.0142,0.448,2248,3
2025-03-23T11:38:43.815470,5.611077021319156e-26,50.92319555429065,-17.945246258744664,0.815470,44,1.4590,42,40,1.062,0.0000,0.0117,0.545,3034,3
2025-03-31T01:15:27.755353,4.017179842775901e-16,-87.78559641008022,29.04055963282734,0.755353,22,0.8310,48,32,1.500,0.0000,0.0104,0.364,2897,3
2025-04-11T19:00:16.004399,9.289665858306644e-06,27.21912844540587,-6.541327291154721,0.004399,22,1.3340,69,31,2.242,0.0000,0.0101,0.545,3310,3
2025-04-26T20:14:55.947930,5.783652526950806e-09,76.59730716592692,5.33906465495224,0.947931,16,0.7920,139,34,4.088,0.0000,0.0074,0.438,4306,3
2025-05-03T21:08:48.329762,1.0426422987475823e-23,-168.6744399925172,-5.068809971435655,0.329763,29,0.8210,71,37,1.919,0.0000,0.0099,0.448,3448,3
2025-05-09T04:52:00.794977,1.317686204217331e-41,43.854651033888906,-8.885212148271533,0.794978,35,1.0050,72,34,2.118,0.0000,0.0151,0.429,2823,3
2025-05-15T13:40:16.831281,2.6575543780045184e-08,59.74450451977995,15.86942425017246,0.831282,27,1.2520,54,39,1.385,0.0000,0.0100,0.444,4270,3
2025-05-21T06:57:34.036871,1.4992512113408405e-19,100.3363397339956,6.767238214184784,0.036872,30,1.7750,57,35,1.629,0.0000,0.0073,0.367,3562,3
2025-06-08T10:43:55.346733,3.128965315057126e-17,137.43863420548365,-25.386815495626397,0.346733,568,9.5270,22,30,0.733,0.0018,0.0083,0.403,4830,3
2025-06-08T10:43:55.357033,4.766517102488729e-31,137.4392720631349,-25.38697799108333,0.357033,974,11.5330,21,31,0.677,0.0021,0.0086,0.379,4666,3
2025-06-15T06:33:02.212451,5.390129478235213e-07,-76.6742187393878,6.2448660711399,0.212451,18,1.3440,70,31,2.274,0.0000,0.0098,0.444,3715,3
2025-06-27T10:02:10.123578,8.278700342467113e-13,-81.69968621184603,16.815283331621348,0.123579,24,1.8020,68,30,2.267,0.0000,0.0087,0.375,3546,3
2025-07-05T09:56:54.114850,1.0309492706693487e-07,124.12855876268816,23.10862768666634,0.114851,19,0.8460,57,40,1.425,0.0526,0.0099,0.421,3426,3
2025-07-12T06:44:10.547430,3.7027397074461266e-22,110.63474986920946,19.084181208068017,0.547431,33,1.4941,70,40,1.750,0.0000,0.0107,0.333,3360,3
2025-07-24T19:41:25.064019,1.7797907753200313e-06,-85.53525602023132,23.715810704821305,0.064020,21,1.7360,73,37,1.973,0.0000,0.0112,0.381,3112,3
2025-08-05T09:17:35.951914,1.376208496658357e-13,-99.74999710275586,20.51028112634557,0.951914,26,1.5220,70,32,2.188,0.0000,0.0082,0.346,4248,3
2025-08-05T09:20:34.370809,4.6640335263120755e-07,-89.20515261594471,24.122303507878883,0.370810,18,1.3440,88,34,2.603,0.0000,0.0094,0.444,3657,3
