date,start,stop,duration,count,false_positive_per_year,longitude,latitude,altitude,tier,associated,coincidence_probability,neighbors_10min,n,n_acd,n_acd_multi,n_bg,n_acd_bg,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20170904,2017-09-04T06:35:16.003632009Z,2017-09-04T06:35:16.004512012Z,0.000880003,19,1.575702507296767e-8,286.3246,21.2184,536910.3,direct,1,3.803717834603721e-3,9,27,2,0,16306,2462,27,2,0,16306,2462,0.148
20170904,2017-09-04T20:17:24.367641985Z,2017-09-04T20:17:24.369017988Z,0.001376003,36,6.285876784694932e-7,289.6696,7.5539,544517.5,direct,0,1.6402266535529874e-3,11,40,4,0,15763,1207,40,4,0,15763,1207,0.125
20170915,2017-09-15T02:36:11.297807991Z,2017-09-15T02:36:11.299493998Z,0.001686007,19,2.3912934892010075e-8,115.5731,-4.6068,547370.3,direct,0,2.4588148512417015e-4,5,36,10,3,13549,5113,36,10,3,13549,5113,0.139
20170916,2017-09-16T16:50:38.168307989Z,2017-09-16T16:50:38.168626010Z,0.000318021,17,8.686007257280702e-7,266.6720,9.3325,546642.6,direct,0,2.6615934185722483e-3,14,20,1,0,14547,2237,20,1,0,14547,2237,0.200
20170916,2017-09-16T23:50:33.182870Z,2017-09-16T23:50:33.183027982Z,0.000157982,16,5.400004432938451e-7,313.7889,14.4431,538156.0,direct,0,8.234838128022293e-5,12,17,1,0,12368,1934,17,1,0,12368,1934,0.118
20170923,2017-09-23T12:35:05.208333998Z,2017-09-23T12:35:05.209257990Z,0.000923992,19,2.0638004288738418e-8,288.4101,11.0784,544381.9,direct,0,4.264727342021146e-3,8,25,6,0,14816,1734,25,6,0,14816,1734,0.160
20170925,2017-09-25T17:40:54.313835978Z,2017-09-25T17:40:54.315083980Z,0.001248002,18,3.428260307834792e-7,351.6075,12.7852,542593.2,direct,1,4.977558462421113e-3,12,32,6,0,12548,1747,32,6,0,12548,1747,0.156
20170926,2017-09-26T02:36:50.895089983Z,2017-09-26T02:36:50.895355969Z,0.000265986,15,1.3162781044907823e-6,67.3731,16.2959,543808.0,direct,1,1.639594787312515e-4,5,17,0,0,15863,1126,17,0,0,15863,1126,0.176
20170926,2017-09-26T22:22:37.970905989Z,2017-09-26T22:22:37.972075968Z,0.001169979,16,6.687649008355871e-7,287.3727,0.0687,542209.0,direct,1,2.474903532497336e-3,3,31,7,4,13369,2113,31,7,4,13369,2113,0.161
20171003,2017-10-03T15:41:59.797645986Z,2017-10-03T15:41:59.798521965Z,0.000875979,16,7.275837826492433e-6,160.6233,-3.2990,538277.9,direct,0,1.3940457913285795e-3,15,26,6,3,12366,1806,26,6,3,12366,1806,0.154
20171003,2017-10-03T17:17:28.444519996Z,2017-10-03T17:17:28.446149975Z,0.001629979,19,7.134083410253246e-7,136.6086,-3.0352,538163.1,direct,0,1.1474469305794606e-3,6,36,4,0,12144,1971,36,4,0,12144,1971,0.111
20171004,2017-10-04T14:41:45.766595989Z,2017-10-04T14:41:45.768089979Z,0.001493990,18,4.9760887331501126e-8,340.6033,11.3956,546120.9,direct,0,2.4588148512417015e-4,11,30,1,0,12642,1827,30,1,0,12642,1827,0.100
20171005,2017-10-05T04:58:12.357779979Z,2017-10-05T04:58:12.358439981Z,0.000660002,22,1.6558265973590703e-6,117.0079,16.2076,546929.2,direct,0,9.317707040406523e-3,3,27,1,0,19744,928,27,1,0,19744,928,0.185
20171006,2017-10-06T18:32:00.533711999Z,2017-10-06T18:32:00.534819990Z,0.001107991,21,2.4167817118834864e-7,118.8256,15.6224,537824.4,direct,1,6.556839603311204e-4,2,29,1,0,17245,2199,29,1,0,17245,2199,0.172
20171007,2017-10-07T16:50:45.252767980Z,2017-10-07T16:50:45.254000008Z,0.001232028,18,4.899605075672414e-8,149.0741,23.9699,539213.6,direct,0,1.31306710925334e-3,6,32,9,1,13502,2337,32,9,1,13502,2337,0.125
20171011,2017-10-11T04:06:19.016889989Z,2017-10-11T04:06:19.018130004Z,0.001240015,18,3.644931878373878e-7,104.0777,5.0375,546818.7,direct,1,1.5008613474305386e-3,6,32,0,0,14764,747,32,0,0,14764,747,0.156
20171013,2017-10-13T12:31:52.316147983Z,2017-10-13T12:31:52.317052006Z,0.000904023,19,3.457599298445924e-6,141.7153,-5.7530,537783.3,direct,0,2.6235952135070894e-3,4,22,4,2,12521,2198,22,4,2,12521,2198,0.182
20171015,2017-10-15T03:23:02.580983996Z,2017-10-15T03:23:02.582407981Z,0.001423985,23,5.975169843684309e-7,72.6474,19.3422,544905.1,direct,1,2.868856511761331e-3,5,30,3,1,14143,1601,30,3,1,14143,1601,0.100
20171016,2017-10-16T02:37:39.212729990Z,2017-10-16T02:37:39.214435994Z,0.001706004,25,1.2397906087505856e-8,290.8157,10.2487,536058.1,direct,0,3.610354093926727e-3,3,38,11,5,15625,2407,38,11,5,15625,2407,0.132
20171030,2017-10-30T18:33:54.243425995Z,2017-10-30T18:33:54.244652003Z,0.001226008,22,1.509692234581762e-7,112.2313,12.4424,537044.4,direct,0,1.06584446356856e-3,5,35,1,0,18692,1583,35,1,0,18692,1583,0.114
20171101,2017-11-01T12:44:49.505073994Z,2017-11-01T12:44:49.506540Z,0.001466006,34,1.8426743505282653e-6,17.9756,-3.5229,546171.1,direct,0,3.4424478157528073e-3,5,43,7,0,16690,1244,43,7,0,16690,1244,0.140
20171101,2017-11-01T12:45:26.907885968Z,2017-11-01T12:45:26.908255964Z,0.000369996,20,2.6875991019343477e-7,19.5400,-1.9123,545804.2,direct,0,3.3610067699368904e-3,5,22,3,0,16205,1172,22,3,0,16205,1172,0.182
20171104,2017-11-04T10:41:11.504957973Z,2017-11-04T10:41:11.505865991Z,0.000908018,16,3.2945565185342455e-8,30.0520,-3.5142,547044.0,direct,1,2.3768543562003113e-3,7,27,8,2,15599,1129,27,8,2,15599,1129,0.111
20171105,2017-11-05T00:14:43.344431996Z,2017-11-05T00:14:43.345729976Z,0.001297980,23,7.968440790714975e-7,11.1099,-4.0641,537223.3,direct,0,1.3951480288500943e-3,16,32,3,1,13818,1078,32,3,1,13818,1078,0.156
20171105,2017-11-05T01:43:15.355901986Z,2017-11-05T01:43:15.356987982Z,0.001085996,20,4.1715162899082174e-8,329.3840,13.5236,535643.2,direct,0,8.196049504139005e-5,9,27,7,2,13158,2084,27,7,2,13158,2084,0.148
20171107,2017-11-07T15:45:19.007735997Z,2017-11-07T15:45:19.009007990Z,0.001271993,24,3.0681418181904975e-6,109.4627,7.0265,535880.0,direct,0,4.426762322760429e-3,7,32,3,1,16236,1126,32,3,1,16236,1126,0.188
20171109,2017-11-09T15:27:51.733523964Z,2017-11-09T15:27:51.734091967Z,0.000568003,18,1.1351728616717855e-6,104.8700,3.4197,536101.5,direct,1,1.3113679206622408e-3,6,25,3,2,15062,1728,25,3,2,15062,1728,0.160
20171127,2017-11-27T18:58:24.838009983Z,2017-11-27T18:58:24.839331984Z,0.001322001,20,1.2016322580810876e-8,292.0084,6.1033,544407.2,direct,1,1.8858481517908367e-3,5,33,7,3,13151,979,33,7,3,13151,979,0.212
20171202,2017-12-02T05:35:29.454209983Z,2017-12-02T05:35:29.455437988Z,0.001228005,23,3.787390966841243e-6,124.3882,-12.6409,547120.3,direct,0,2.545521703139087e-3,22,27,2,0,10634,1167,27,2,0,10634,1167,0.185
