start,fa,lon,lat,phase,n_core,dur_ms,pi_core_med,pi_bkg_med,pi_med_ratio,acd_core,acd_bkg,det_frac_max,rate_bkg,n_det_hit
2025-03-01T15:12:05.905362,1.5744990554059412e-14,10.045142121025922,1.2894409166813512,0.905362,24,1.1380,36,30,1.200,0.0000,0.0180,0.458,1892,3
2025-03-02T15:36:03.964924,6.648944925051949e-07,26.115136266811167,-14.26844235607814,0.964925,20,1.3850,69,28,2.482,0.0000,0.0127,0.450,2569,3
2025-03-02T20:19:09.750032,4.384217848669121e-56,-72.3608579004933,-0.49199870529523104,0.750033,45,1.1740,37,31,1.194,0.0000,0.0194,0.378,2010,3
2025-03-04T07:53:04.391622,8.611747361898545e-06,102.79245270026772,-0.17267112520360148,0.391623,15,0.8040,40,35,1.143,0.0667,0.0141,0.533,2088,3
2025-03-04T12:51:06.939440,1.9133157686621507e-11,49.97208598860809,-12.533430941546786,0.939440,20,1.4520,48,31,1.565,0.0000,0.0150,0.450,1968,3
2025-03-04T14:28:23.279112,2.682363179452896e-22,26.0773964940686,-12.976681213552398,0.279113,34,1.8620,71,29,2.448,0.0000,0.0154,0.500,2208,3
2025-03-05T16:55:52.843807,1.5095243466102184e-07,118.12299498298181,-10.089775872973448,0.843807,17,0.9330,50,27,1.852,0.0000,0.0166,0.471,2074,3
2025-03-07T03:57:59.922354,1.8374855991206435e-42,177.23945420498157,-18.40444267083329,0.922355,76,2.5360,56,38,1.474,0.0000,0.0111,0.368,2517,3
2025-03-07T08:45:19.138112,1.4584988548048656e-17,91.06438107617255,-12.658645786911459,0.138113,23,0.8730,47,32,1.469,0.0000,0.0116,0.435,2067,3
2025-03-07T10:53:54.957511,7.744824793044357e-16,-178.0156133459869,-16.669200794943727,0.957511,22,0.7030,35,29,1.207,0.0000,0.0153,0.455,2094,3
2025-03-08T18:06:30.672628,2.761179830560771e-06,168.37756286512456,27.853439850375526,0.672629,117,4.8920,38,32,1.188,0.0000,0.0088,0.444,3758,3
2025-03-09T09:54:41.990233,2.686300448984827e-30,-151.47568601660245,-3.6059444037409345,0.990234,30,1.1990,43,28,1.536,0.0000,0.0152,0.400,2110,3
2025-03-10T08:27:43.536668,1.9041271130680997e-21,-153.16992852829267,-12.32400539676056,0.536669,30,1.6360,27,31,0.887,0.0000,0.0128,0.500,2078,3
2025-03-11T15:15:26.404063,1.0055255812370153e-20,111.13075040837842,-4.165302366399949,0.404064,26,1.6040,42,27,1.574,0.0000,0.0163,0.462,2026,3
2025-03-12T15:19:25.536350,1.2718952729170115e-06,64.64671266367482,-21.739528222257793,0.536350,16,0.8750,39,33,1.197,0.0000,0.0122,0.438,2508,3
2025-03-13T12:28:29.919167,1.3089485437996974e-12,129.38615205587712,-9.388058035843706,0.919168,19,0.7070,45,28,1.607,0.0000,0.0185,0.421,1944,3
