sat,start,fa,dur_us,lon,lat,alt_km,cls,footN_lon,footN_lat,pathN_km,reachedN,footS_lon,footS_lat,pathS_km,reachedS,travelN_ms,travelS_ms
GRID-03B,2023-11-04T15:56:59.292,1.584e-11,170.2,98.450,3.260,483.6,short,98.179,20.142,2075,1,98.568,-5.848,1138,1,7.3,4.0
GRID-03B,2023-11-18T11:39:47.324,5.496e-07,425.8,162.810,4.290,487.6,short,164.451,20.000,1923,1,161.217,-7.354,1440,1,6.8,5.1
GRID-03B,2024-01-14T13:50:21.606,1.169e-06,386.0,136.720,-33.960,483.4,short,138.965,52.144,22830,1,136.512,-35.367,417,1,80.2,1.5
GRID-03B,2024-01-18T15:57:04.315,1.025e-19,43.9,-79.500,3.050,478.2,short,-79.946,8.699,761,1,-79.333,-31.374,4458,1,2.7,15.7
GRID-04,2022-04-14T21:08:44.692,4.505e-22,979.4,-164.440,-33.510,553.0,long,-148.334,37.589,14204,1,-165.494,-35.908,542,1,49.9,1.9
GRID-04,2022-08-19T11:42:21.034,2.845e-14,941.5,165.830,-29.530,538.6,long,176.838,44.382,15173,1,165.139,-31.736,513,1,53.3,1.8
GRID-04,2022-08-19T13:18:05.791,8.402e-19,997.1,141.640,-28.010,537.7,long,144.163,46.571,15930,1,141.320,-30.096,502,1,55.9,1.8
GRID-04,2024-01-01T06:15:24.361,2.220e-08,977.8,-122.260,44.890,474.7,long,-121.801,46.187,406,1,-150.267,-53.071,31857,1,1.4,111.9
GRID-04,2024-01-02T03:23:39.487,6.707e-18,971.3,102.620,-36.500,491.0,long,97.442,53.417,27925,1,102.953,-37.619,413,1,98.0,1.5
GRID-04,2024-01-09T01:39:19.562,4.061e-07,954.9,128.410,-38.530,493.5,long,128.853,56.664,31503,1,128.333,-39.661,415,1,110.6,1.5
GRID-04,2024-01-19T03:05:49.438,4.664e-11,858.8,107.400,-36.510,491.6,long,102.997,53.661,28018,1,107.646,-37.652,414,1,98.4,1.5
GRID-04,2024-01-26T20:04:19.632,1.891e-10,978.2,-150.060,-48.720,492.8,long,-125.029,44.176,27036,1,-151.235,-50.041,431,1,94.9,1.5
GRID-04,2024-02-01T13:10:09.634,1.140e-11,964.2,132.170,53.030,471.6,long,131.746,54.203,397,1,130.799,-37.344,26578,1,1.4,93.3
GRID-07,2024-01-02T11:17:09.810,4.979e-14,966.1,160.280,49.670,448.9,long,160.068,51.204,392,1,151.535,-35.454,21366,1,1.4,75.0
GRID-07,2024-01-27T22:32:39.874,2.596e-07,943.4,171.060,-52.250,463.0,long,-157.975,61.613,57346,1,170.314,-52.939,375,1,201.4,1.3
GRID-07,2024-02-03T03:55:09.694,1.692e-07,919.6,92.170,-47.080,459.2,long,79.908,63.237,56514,1,92.926,-47.661,370,1,198.4,1.3
