date,start,stop,count,mean,sf,false_positive_per_year,lat,lon,alt,n,n_acd,n_acd_multi,n_bg,n_acd_bg,neighbors_10min,is_train,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20210204,2021-02-04T08:47:52.275825977Z,2021-02-04T08:47:52.277673959Z,47,6.847640173867349,1.2685619405182194e-24,4.917906087006382e-14,-16.763652017691136,135.5905225187874,548430.5053778887,61,4,4,16617,2065,8,0,61,4,4,16617,2065,0.098
20210204,2021-02-04T08:48:36.112815976Z,2021-02-04T08:48:36.114723980Z,32,1.5142636923909072,2.3446992264979137e-32,4.157394142225075e-21,-18.53863765057862,137.61994395240308,549031.8806695223,56,10,2,16839,2122,9,0,56,10,2,16839,2122,0.125
20210204,2021-02-04T15:06:12.582495927Z,2021-02-04T15:06:12.584089994Z,39,1.268292906132198,4.78587092883755e-45,7.260381105791379e-34,-9.46928388936639,30.814140145331624,545720.3990192115,51,6,3,12163,1148,21,0,51,6,3,12163,1148,0.098
20210206,2021-02-06T10:34:53.028980016Z,2021-02-06T10:34:53.030699968Z,21,0.5922016414276119,4.985295609091689e-27,1.7479855218372821e-15,-22.222834119543435,230.85808296514932,543978.8659396649,39,8,4,13166,2537,20,0,39,8,4,13166,2537,0.103
20210206,2021-02-06T21:51:21.146449983Z,2021-02-06T21:51:21.147481977Z,19,0.911463141090093,2.7042376887740467e-20,9.915201191998403e-09,1.051834358084202,85.64680366264999,535349.2790177286,36,2,0,21062,2433,4,0,36,2,0,21062,2433,0.111
20210207,2021-02-07T17:56:21.267765998Z,2021-02-07T17:56:21.268833994Z,9,0.03515108633377493,7.686846684442094e-22,2.788291837620241e-11,-33.18749718055129,2.0586017166852955,554130.611131525,10,3,1,19,3,2,0,10,3,1,19,3,0.300
20210208,2021-02-08T06:32:27.404089987Z,2021-02-08T06:32:27.406005978Z,60,3.6989775214630907,2.3319588989448208e-51,2.3584575766363774e-40,-19.3612034567678,147.4275248769653,547947.9849633813,86,3,1,23352,1714,2,0,86,3,1,23352,1714,0.128
20210209,2021-02-09T08:25:48.394667983Z,2021-02-09T08:25:48.396503984Z,29,1.4333570708327141,4.6238168800581176e-29,1.0132755401741629e-17,-28.627215942708254,234.5244714893973,549275.7973102689,49,9,2,19505,3061,7,0,49,9,2,19505,3061,0.143
20210209,2021-02-09T12:42:05.634293973Z,2021-02-09T12:42:05.635933935Z,19,0.37606918088287605,9.199131031809756e-28,5.181348622392231e-16,-16.149600858272912,42.86066702331662,545678.1006347835,35,3,1,13275,2836,19,0,35,3,1,13275,2836,0.114
20210211,2021-02-11T06:02:45.510851979Z,2021-02-11T06:02:45.512479960Z,28,1.5567349515131272,9.434209698497869e-27,1.7111784148194576e-15,-22.16574910510898,139.30436885524034,547520.7392447353,46,2,0,17706,1625,8,0,46,2,0,17706,1625,0.152
20210215,2021-02-15T13:49:25.998133957Z,2021-02-15T13:49:25.999673962Z,24,0.845209147277898,4.2729118382850855e-28,1.4345513613327238e-16,-19.227742669631244,127.08420408794285,548301.2291042329,41,5,5,17434,2741,8,0,41,5,5,17434,2741,0.146
20210216,2021-02-16T14:23:50.044936001Z,2021-02-16T14:23:50.046217978Z,23,1.311302172426723,3.0620891731521946e-22,8.187974975624014e-11,25.941846984434132,282.4459412370217,533277.2705254495,37,4,3,21636,3399,5,0,37,4,3,21636,3399,0.135
20210219,2021-02-19T03:02:17.562839984Z,2021-02-19T03:02:17.564829945Z,59,9.520898833218018,5.483914854771747e-28,1.8217162976876265e-17,-15.507086742690207,124.9097950677854,538973.296001035,83,5,0,19836,1047,2,0,83,5,0,19836,1047,0.120
20210224,2021-02-24T17:03:29.868915975Z,2021-02-24T17:03:29.870593965Z,27,1.5678459796727693,2.1258792062837423e-25,4.5940568238262294e-14,-17.10551821774483,22.10900349357605,548343.1922001839,50,4,3,21270,1755,0,0,50,4,3,21270,1755,0.140
20210225,2021-02-25T09:01:55.612797975Z,2021-02-25T09:01:55.614687979Z,28,0.518653724953105,3.6917296039468824e-40,1.2944247250792365e-28,-3.700427751986981,153.3895003775978,546020.7875305653,37,4,1,11360,1012,7,0,37,4,1,11360,1012,0.108
20210225,2021-02-25T20:11:04.317591965Z,2021-02-25T20:11:04.319148004Z,34,3.3012931679109787,5.592819597198316e-24,1.0507845658153858e-12,1.3562018333649637,348.4939525011134,545129.9116202593,64,3,0,38697,1510,0,0,64,3,0,38697,1510,0.109
20210228,2021-02-28T08:24:57.077359974Z,2021-02-28T08:24:57.077773988Z,17,0.4554661793615728,7.220837744238802e-23,3.353563992830492e-11,-18.871905728704338,125.962678289544,547515.6665938854,20,4,1,13123,2874,13,0,20,4,1,13123,2874,0.100
20210302,2021-03-02T04:21:45.751777946Z,2021-03-02T04:21:45.752643942Z,25,2.04521144717427,4.163488931347304e-20,5.763016167572117e-09,-20.861337176080944,40.23524172273636,536475.8971360564,30,1,0,18042,1116,7,0,30,1,0,18042,1116,0.167
20210302,2021-03-02T09:47:22.511913955Z,2021-03-02T09:47:22.513527989Z,29,2.0693784210958537,1.5231858218814098e-24,2.0546463950533278e-13,0.7245287749576569,114.17923217223407,544562.4415783286,36,10,4,17505,2599,3,0,36,10,4,17505,2599,0.111
20210305,2021-03-05T07:42:32.538971960Z,2021-03-05T07:42:32.540183961Z,22,0.5041317457706592,3.4378646509222735e-30,1.2331794530585438e-18,4.446292295637727,130.50947945016742,543452.7858350873,31,5,0,11342,2516,8,0,31,5,0,11342,2516,0.129
20210306,2021-03-06T13:45:31.774581968Z,2021-03-06T13:45:31.776401937Z,27,1.8793510487166218,2.5172011977985054e-23,4.617910015346719e-12,-15.854648892772198,9.282023166253568,543032.8111952782,51,8,6,21594,1168,3,0,51,8,6,21594,1168,0.098
20210307,2021-03-07T01:47:29.463509976Z,2021-03-07T01:47:29.464767992Z,17,0.4258324360526457,2.2123431132398037e-23,9.696375186425959e-12,-2.314799821712375,25.63225648286045,535008.868227011,28,0,0,11733,1928,18,0,28,0,0,11733,1928,0.143
20210307,2021-03-07T20:47:22.496127963Z,2021-03-07T20:47:22.497907996Z,26,0.970572163643768,1.609001637276608e-29,4.377614488824561e-18,7.66839316470027,84.81879729298474,536540.5763168872,42,3,0,16714,1523,3,0,42,3,0,16714,1523,0.119
20210309,2021-03-09T03:43:04.203094005Z,2021-03-09T03:43:04.204962015Z,35,1.541542992047175,3.506264779843144e-36,5.885818738464425e-25,-14.90638208047271,144.32241346009494,541336.3904359937,51,7,1,16199,2445,7,0,51,7,1,16199,2445,0.118
20210309,2021-03-09T05:19:43.899223923Z,2021-03-09T05:19:43.901073932Z,40,2.5897453882261203,2.098917902192858e-34,1.983346948421885e-23,-11.524597653779983,123.65342640217067,540997.1018271924,54,11,4,15435,2454,9,0,54,11,4,15435,2454,0.167
20210310,2021-03-10T07:34:46.690412223Z,2021-03-10T07:34:46.692312479Z,44,2.0410627833177317,9.97684016540539e-44,1.4055946707702088e-32,5.430044363762141,269.54893774307254,537913.2092740536,61,11,5,17952,2056,1,0,61,11,5,17952,2056,0.098
20210311,2021-03-11T22:28:48.782545924Z,2021-03-11T22:28:48.785559952Z,54,7.728351713639542,2.812030465066092e-28,9.092065919663836e-18,-8.202890110287667,212.51803687175038,539049.8207184792,123,21,9,15864,2784,5,0,123,21,9,15864,2784,0.098
20210313,2021-03-13T12:40:49.554641962Z,2021-03-13T12:40:49.556255996Z,22,0.6141277215540748,2.897271327334423e-28,1.474958130425486e-16,3.518187497882843,1.8112351707124712,537979.6296264172,44,3,2,19613,2371,5,0,44,3,2,19613,2371,0.091
20210314,2021-03-14T16:30:08.694029927Z,2021-03-14T16:30:08.695757985Z,31,1.3856463828650736,3.384792829218426e-32,7.417525112631245e-21,-7.007254503608943,120.74800544997217,540404.8552815437,49,0,0,19139,1540,1,0,49,0,0,19139,1540,0.102
20210316,2021-03-16T17:46:20.180801987Z,2021-03-16T17:46:20.182615995Z,38,1.3724255309208424,2.9620341999621834e-42,5.631041553059129e-31,-10.965336962897778,92.79951487794399,541897.6969203592,47,6,3,16530,2008,9,0,47,6,3,16530,2008,0.149
20210317,2021-03-17T01:00:00.020630002Z,2021-03-17T01:00:00.023320019Z,18,0.7395193406000761,1.31859069415973e-20,4.3893498362894956e-10,22.65513524667621,176.93217013395312,539652.2426957488,31,1,0,298,31,15,0,31,1,0,298,31,0.129
20210317,2021-03-17T04:08:23.543977975Z,2021-03-17T04:08:23.545441985Z,19,0.7885133301271252,1.6757158741254532e-21,6.44771470642779e-10,17.336562453022005,122.0079263181925,537856.6474145175,39,1,0,19164,873,3,0,39,1,0,19164,873,0.154
20210324,2021-03-24T17:02:20.920795917Z,2021-03-24T17:02:20.922623932Z,25,0.47961340548184517,7.889337210174251e-36,3.112517962786441e-24,-11.996703599736096,207.19196232162417,534516.7024706006,41,10,6,11949,958,12,0,41,10,6,11949,958,0.122
20210325,2021-03-25T08:20:53.027873992Z,2021-03-25T08:20:53.028176009Z,16,0.40251449717401744,3.674663706310051e-22,2.6362409458475e-10,-21.217762964771985,190.9679343501705,548362.2175886988,20,1,0,17954,882,10,0,20,1,0,17954,882,0.200
20210325,2021-03-25T09:49:51.655191957Z,2021-03-25T09:49:51.656701982Z,27,2.4710068560994576,3.032063882291452e-20,4.309589784729347e-09,-5.472965945730209,149.74166446847917,545800.2075756073,44,3,0,22053,1122,2,0,44,3,0,22053,1122,0.114
20210328,2021-03-28T17:56:52.143396019Z,2021-03-28T17:56:52.144851982Z,22,0.8047428920558689,1.2103636292534747e-25,3.74532680135335e-14,-10.485259279910327,169.13700703607202,534926.0356013895,34,4,1,15523,2049,8,0,34,4,1,15523,2049,0.147
20210329,2021-03-29T05:06:29.444419980Z,2021-03-29T05:06:29.445159971Z,23,1.5897515895173855,2.3836043385833133e-20,5.4513872603977965e-09,-4.193114744443894,5.617556321663857,533133.0662522793,32,6,6,22846,1447,0,0,32,6,6,22846,1447,0.125
20210329,2021-03-29T20:59:56.928821921Z,2021-03-29T20:59:56.930695950Z,28,1.0896839773805793,4.764117209200297e-31,1.0737997139020792e-19,-3.263221158959866,123.96440132643939,533299.9470837355,41,3,2,15525,2519,4,0,41,3,2,15525,2519,0.098
20210331,2021-03-31T20:38:38.441083967Z,2021-03-31T20:38:38.442685961Z,20,0.9046319672109434,1.0066791153571492e-21,2.995980440669947e-10,-4.834785819926262,114.75031597955227,534417.0798345685,38,1,0,16773,2501,5,0,38,1,0,16773,2501,0.132
20210401,2021-04-01T20:31:59.054668009Z,2021-04-01T20:31:59.056401968Z,33,1.6258868147543049,1.0505629172918345e-32,1.8018112764369477e-21,4.748150155105591,120.22250087112428,532848.00977211,48,3,2,17238,2528,11,0,48,3,2,17238,2528,0.125
20210403,2021-04-03T03:32:18.277103960Z,2021-04-03T03:32:18.278423964Z,20,0.5827340156600065,1.3338298132884344e-25,4.383578043709031e-14,-9.497016785390377,191.97002199047805,545630.3426777243,31,5,2,12109,1859,18,0,31,5,2,12109,1859,0.129
20210403,2021-04-03T13:07:33.766941964Z,2021-04-03T13:07:33.768561959Z,26,1.0001682777581236,3.5188375906875367e-29,9.915081895221099e-18,-17.978996716508867,55.531162393964536,547958.2845714808,48,6,2,17448,1258,4,0,48,6,2,17448,1258,0.104
20210404,2021-04-04T14:26:35.855849981Z,2021-04-04T14:26:35.857665956Z,34,1.2742790186113393,1.3559670131364447e-37,2.6413352976266324e-26,-3.0516535067915918,11.964844948920609,542734.1999856115,58,6,2,15497,2336,10,0,58,6,2,15497,2336,0.103
20210404,2021-04-04T20:00:53.074316024Z,2021-04-04T20:00:53.076143980Z,37,1.5627524918955746,9.735409084466041e-39,2.0213331010423966e-27,4.661865552172065,108.62345785543323,534206.967667824,53,2,1,20379,843,4,0,53,2,1,20379,843,0.132
20210411,2021-04-11T17:12:06.655077934Z,2021-04-11T17:12:06.656865954Z,38,1.3352161577473634,1.0514323071023416e-42,2.7194891954880196e-31,2.242599246530533,103.66297066864968,539252.3969296456,60,2,0,21745,1378,1,0,60,2,0,21745,1378,0.117
20210412,2021-04-12T15:24:19.140213966Z,2021-04-12T15:24:19.141451954Z,23,1.3803062883983352,9.814209616745319e-22,1.865752332063923e-10,-3.2404346050262456,118.76862265052796,541417.04270401,31,3,0,16236,2508,4,0,31,3,0,16236,2508,0.129
20210413,2021-04-13T00:59:38.251204013Z,2021-04-13T00:59:38.252213954Z,40,5.45716226262601,2.406701437347035e-22,3.5483845141779926e-11,5.722953810188771,341.94375291866544,539258.7643803835,55,0,0,50697,3415,0,0,55,0,0,50697,3415,0.145
20210414,2021-04-14T11:06:55.443805992Z,2021-04-14T11:06:55.445555984Z,32,0.954148374864324,9.696383615532357e-39,2.50793230335661e-27,-1.1631183690333367,356.02398470995666,535647.2044701338,55,0,0,15764,991,7,0,55,0,0,15764,991,0.109
20210415,2021-04-15T14:52:43.515522003Z,2021-04-15T14:52:43.517513990Z,55,6.237488985182165,1.0232747395214446e-33,5.1750067013471497e-23,-4.492249455802441,106.04362566026212,543500.7584089161,71,11,2,19676,2827,8,0,71,11,2,19676,2827,0.085
20210418,2021-04-18T08:49:08.175047993Z,2021-04-18T08:49:08.176895976Z,48,6.858858129146285,1.8938083188701203e-25,6.807021716018988e-15,1.4436584331643583,2.413324659410119,533029.1267367422,60,3,2,15661,2241,3,0,60,3,2,15661,2241,0.117
20210418,2021-04-18T08:50:18.379799962Z,2021-04-18T08:50:18.381299972Z,28,2.441566617160695,1.871755285561893e-21,1.8811661913038875e-10,-1.593519338979721,5.35416399622202,533649.5995696068,49,9,3,15469,2334,2,0,49,9,3,15469,2334,0.122
20210420,2021-04-20T22:02:05.433129966Z,2021-04-20T22:02:05.434331953Z,38,4.83100770862649,2.115969423995661e-22,3.407229929345329e-11,7.641998833733798,337.4256155109382,543330.8970565618,59,0,0,48603,1704,0,0,59,0,0,48603,1704,0.102
20210421,2021-04-21T12:59:49.790013968Z,2021-04-21T12:59:49.791339933Z,36,3.4053570968420135,1.297244112299316e-25,1.1063533699287364e-14,12.020181014908554,267.6147566571874,531728.4419602037,42,3,0,18381,975,4,0,42,3,0,18381,975,0.143
20210421,2021-04-21T18:37:50.167639970Z,2021-04-21T18:37:50.168810009Z,24,1.3071156385487679,1.4855534414623363e-23,3.663364211620127e-12,-0.7660386041164399,13.894518287342787,544717.8422201037,33,8,2,20430,1674,3,0,33,8,2,20430,1674,0.182
20210422,2021-04-22T03:55:26.880633950Z,2021-04-22T03:55:26.881735920Z,22,1.1774130428447815,5.3619834549119e-22,1.658233071008962e-10,-34.00972558784009,186.8020759353912,552533.0187257171,37,1,0,22649,1410,6,0,37,1,0,22649,1410,0.135
20210422,2021-04-22T04:59:16.577665984Z,2021-04-22T04:59:16.578597962Z,24,1.4535025976787663,1.8341268828702558e-22,3.179685794884759e-11,-4.391718659449816,41.248102457588914,532953.2953831077,33,2,1,15788,1968,6,0,33,2,1,15788,1968,0.091
20210423,2021-04-23T18:18:44.899771928Z,2021-04-23T18:18:44.901679992Z,42,2.874979439408086,5.258468262768824e-35,6.482163065407372e-24,3.564172695260048,10.42723580830574,544428.640440178,63,5,3,22314,1453,2,0,63,5,3,22314,1453,0.095
20210425,2021-04-25T05:59:57.231903970Z,2021-04-25T05:59:57.233479976Z,24,0.9425635198866379,5.939965739792909e-27,1.5363492772496188e-15,4.6951376715374,356.66692124036194,531809.7391789674,39,1,0,15243,1577,7,0,39,1,0,15243,1577,0.103
20210425,2021-04-25T11:37:39.213743984Z,2021-04-25T11:37:39.215499997Z,37,1.0674720959955073,8.081178957370808e-45,2.0239212224588573e-33,5.890783767454625,102.06425693098308,544461.7227211356,48,1,0,16753,2382,4,0,48,1,0,16753,2382,0.125
20210427,2021-04-27T15:58:43.123412013Z,2021-04-27T15:58:43.125127971Z,33,2.0182788177617508,1.1179372270883701e-29,1.2601455819898473e-18,-4.665812207593918,11.367542889078857,544676.5563713551,51,0,0,14247,1178,14,0,51,0,0,14247,1178,0.118
20210428,2021-04-28T07:53:44.685917973Z,2021-04-28T07:53:44.687831997Z,41,5.575080117070746,6.819203160795299e-23,2.1869392786584716e-12,0.3813648611545563,133.7146470231247,544362.9526161194,48,7,0,11220,2415,12,0,48,7,0,11220,2415,0.125
20210428,2021-04-28T09:29:00.857861936Z,2021-04-28T09:29:00.859629988Z,22,0.7238574632600585,1.1440423028668182e-26,3.6097239425186766e-15,0.28239174216151236,109.36412066543937,544266.5694289446,37,9,2,14311,2505,13,0,37,9,2,14311,2505,0.135
20210428,2021-04-28T18:13:46.095682024Z,2021-04-28T18:13:46.097195982Z,20,1.0607105210746368,2.454383784364766e-20,5.610838662912818e-09,-1.7687212327885629,157.4007338838959,533171.7776780367,37,0,0,15402,907,6,0,37,0,0,15402,907,0.162
20210428,2021-04-28T23:48:47.995377957Z,2021-04-28T23:48:47.997309923Z,25,0.7818795138476641,1.9462524745247578e-30,6.67383929609009e-19,5.499993688424826,256.13688716620567,544158.1032032191,43,2,0,16918,2695,6,0,43,2,0,16918,2695,0.140
20210429,2021-04-29T00:30:30.461539983Z,2021-04-29T00:30:30.463403940Z,32,1.1661859361457254,5.9336998825257516e-36,1.2822814370298682e-24,9.830106831393838,48.98707476222575,533440.0612254024,48,0,0,15798,2018,1,0,48,0,0,15798,2018,0.104
20210430,2021-04-30T09:49:39.966537952Z,2021-04-30T09:49:39.968353927Z,25,0.8622198310792342,2.2912375281391246e-29,8.213220485366572e-18,15.62661849494815,253.5125614833832,535215.3773698926,53,0,0,19623,985,3,0,53,0,0,19623,985,0.113
20210430,2021-04-30T13:50:24.430173993Z,2021-04-30T13:50:24.431729972Z,33,3.4104803267345973,1.6173253304678534e-22,1.4418096444325926e-11,-9.385691599247457,19.442076486792566,543714.5343151093,48,0,0,19256,1087,3,0,48,0,0,19256,1087,0.167
20210430,2021-04-30T23:29:27.590827941Z,2021-04-30T23:29:27.592431962Z,23,1.0514318239671359,1.9590187329424218e-24,4.830926250011064e-13,9.180881090345384,252.1390810828066,543751.8726758718,39,11,8,16365,2559,13,0,39,11,8,16365,2559,0.128
20210501,2021-05-01T08:59:59.488150Z,2021-05-01T08:59:59.489985942Z,42,4.9599667514457435,1.0523073028919525e-25,7.581204295481004e-15,5.8159261458969125,103.25995893867494,543209.988368988,64,2,0,16858,2041,2,0,64,2,0,16858,2041,0.141
20210502,2021-05-02T07:12:46.711699962Z,2021-05-02T07:12:46.713167965Z,36,1.9539241048646783,6.2974146423518535e-34,8.279507864836232e-23,1.902053678674698,119.8657540762663,542675.1440899968,49,1,0,16237,1375,3,0,49,1,0,16237,1375,0.143
20210502,2021-05-02T07:52:46.773593962Z,2021-05-02T07:52:46.776865959Z,142,9.421676667804173,4.48713460410986e-113,1.4390377706844885e-102,17.611661145019532,267.88055629463196,536832.5913658142,228,17,9,18963,1089,5,0,228,17,9,18963,1089,0.101
20210502,2021-05-02T08:49:34.918571949Z,2021-05-02T08:49:34.920451939Z,42,2.548592716288396,4.0626509097873275e-37,5.989877826595484e-26,5.765551329054833,99.38066662733556,542773.9804332972,72,5,0,23409,2461,2,0,72,5,0,23409,2461,0.111
20210502,2021-05-02T17:28:09.721217989Z,2021-05-02T17:28:09.722595930Z,25,1.1939099225717609,7.883909969820012e-26,2.3920490893198697e-14,8.749647835985424,131.78348690690518,535566.0493961811,43,0,0,22582,2142,1,0,43,0,0,22582,2142,0.116
20210503,2021-05-03T13:22:44.378579974Z,2021-05-03T13:22:44.380499958Z,61,3.517935940540815,7.39717346040201e-54,6.484145136609838e-43,-0.37029271925449375,16.814260804373028,541783.6817679644,86,3,0,19255,1385,1,0,86,3,0,19255,1385,0.128
20210504,2021-05-04T08:27:47.205407977Z,2021-05-04T08:27:47.207318007Z,40,3.612694741618082,6.556206694347701e-29,6.1209221042675996e-18,3.1556262578439713,89.17001778850556,541540.2317117334,60,7,5,21096,2382,3,0,60,7,5,21096,2382,0.117
20210504,2021-05-04T17:11:48.242451965Z,2021-05-04T17:11:48.244017958Z,28,2.43960905614902,1.8321737786720714e-21,2.6041395257301985e-10,-2.677923870739937,135.29688309260845,535939.7029747963,44,3,1,21840,829,1,0,44,3,1,21840,829,0.114
20210505,2021-05-05T01:09:13.963931918Z,2021-05-05T01:09:13.964643955Z,20,1.0839967912231137,3.787598208381675e-20,8.658630570551736e-09,-4.987310600471497,16.269131199672223,535829.5251993418,27,1,1,15684,1014,6,0,27,1,1,15684,1014,0.222
20210505,2021-05-05T15:25:56.368281960Z,2021-05-05T15:25:56.370115995Z,48,2.5857482044552484,2.1511970712818693e-44,2.7378568072824182e-33,-2.242721452468634,155.2992335769272,536556.1736811877,71,6,2,20568,1729,3,0,71,6,2,20568,1729,0.099
20210505,2021-05-05T16:59:28.249087989Z,2021-05-05T16:59:28.249765992Z,18,0.7305378193273658,1.0543361431901077e-20,5.042609489392325e-09,2.359642957348824,126.5866456766248,536801.7291315318,29,1,0,21857,1258,2,0,29,1,0,21857,1258,0.103
20210510,2021-05-10T14:26:53.694595932Z,2021-05-10T14:26:53.696463942Z,45,5.9538663064218165,2.3609906598622837e-25,1.520524715511873e-14,15.847775090270042,117.95278051927092,541987.6769477368,71,5,0,24013,2217,1,0,71,5,0,24013,2217,0.141
20210512,2021-05-12T03:54:06.225253999Z,2021-05-12T03:54:06.227131962Z,56,2.031560839724677,1.1796042718706183e-60,1.6183983280763297e-49,3.3663524176502233,107.25272324332715,536378.6240128041,69,8,1,17304,2042,4,0,69,8,1,17304,2042,0.116
20210512,2021-05-12T15:49:03.636883974Z,2021-05-12T15:49:03.638369977Z,22,1.0313793766967756,2.9325737011764826e-23,7.978660074917674e-12,-3.728723090621829,105.6860488238752,541166.3904464245,36,2,2,17636,1688,10,0,36,2,2,17636,1688,0.111
20210513,2021-05-13T20:19:20.822213947Z,2021-05-13T20:19:20.823999941Z,48,2.101761263050106,1.343790978205766e-48,1.6310599458390856e-37,9.769794393271209,15.863341247490645,542369.9238114834,61,8,4,15904,1699,4,0,61,8,4,15904,1699,0.098
20210515,2021-05-15T03:23:00.048048019Z,2021-05-15T03:23:00.049978017Z,43,2.300617889436877,3.3126558012947456e-40,4.6252141708896176e-29,3.597238630046845,95.99400420808317,534553.2155864715,67,14,7,20231,1953,0,0,67,14,7,20231,1953,0.119
20210516,2021-05-16T16:58:03.952195942Z,2021-05-16T16:58:03.953703939Z,36,3.33425863021062,6.367480541138538e-26,1.025008851994386e-14,-37.66473406516552,113.6042463954723,547520.2521113753,59,10,2,33759,4317,3,0,59,10,2,33759,4317,0.119
20210521,2021-05-21T17:24:18.598423957Z,2021-05-21T17:24:18.600193977Z,28,2.63365179472594,1.398457590497014e-20,1.3620520854226574e-09,0.6996129874050617,18.445304978106023,544387.4746266603,47,7,4,15823,2020,5,0,47,7,4,15823,2020,0.170
20210524,2021-05-24T21:36:38.047317981Z,2021-05-24T21:36:38.048976004Z,22,0.5472959841401073,2.182422610075149e-29,9.842255126617387e-18,6.7581637664288285,288.29933729238337,543774.7130883634,44,3,1,15662,2285,6,0,44,3,1,15662,2285,0.114
20210524,2021-05-24T21:36:58.179636001Z,2021-05-24T21:36:58.182169973Z,71,7.58510188540929,2.10681389971269e-44,6.770560367823628e-34,5.8958661531829835,289.1509413604403,543858.5205080986,109,2,0,15492,2107,6,0,109,2,0,15492,2107,0.110
20210524,2021-05-24T21:37:40.170412003Z,2021-05-24T21:37:40.171620011Z,58,6.3207240410937295,2.5492384684955375e-36,1.0030402206024295e-25,4.0926333318358665,290.9182373144889,544049.6199025154,61,12,0,15634,2113,5,0,61,12,0,15634,2113,0.115
20210530,2021-05-30T10:24:08.230156004Z,2021-05-30T10:24:08.232360005Z,124,5.512564117137214,1.0465893912939209e-119,4.463273161294862e-109,17.331450849075317,267.2811940997696,532546.9308422089,146,10,4,14788,1376,20,0,146,10,4,14788,1376,0.096
20210530,2021-05-30T16:36:20.054159998Z,2021-05-30T16:36:20.055548012Z,20,0.4866056925204721,3.317041691117602e-27,1.277238776103288e-15,-5.754640440723897,146.96751270259142,535927.4737065077,28,6,3,11710,2619,13,0,28,6,3,11710,2619,0.143
20210531,2021-05-31T07:42:18.116097986Z,2021-05-31T07:42:18.117817997Z,30,1.0239499889340065,9.397950082161386e-35,2.6023703907711357e-23,4.081080690145493,98.20591734713734,541494.8130847812,39,5,2,17661,1717,8,0,39,5,2,17661,1717,0.128
20210603,2021-06-03T17:29:42.621817946Z,2021-06-03T17:29:42.623457968Z,29,1.5923168770730676,9.301474508690279e-28,1.767642973056092e-16,-6.4073066671520476,106.77762616335035,538580.0446259498,45,5,0,19075,2645,3,0,45,5,0,19075,2645,0.133
20210603,2021-06-03T19:15:32.060907959Z,2021-06-03T19:15:32.062659978Z,54,7.387810452896558,3.2920677532761854e-29,1.7141826307299595e-18,20.3131500763011,109.96118730916619,533947.8204257131,75,6,2,23957,955,3,0,75,6,2,23957,955,0.093
20210604,2021-06-04T17:22:05.512389957Z,2021-06-04T17:22:05.514329969Z,36,1.8893742018095248,1.9346477187227537e-34,3.1468407519883675e-23,0.8472196853160859,110.01968732847692,537093.6064002514,53,7,3,19390,2354,4,0,53,7,3,19390,2354,0.113
20210604,2021-06-04T17:31:07.854027986Z,2021-06-04T17:31:07.855915963Z,38,1.1703119020720985,7.224447981624113e-45,1.8093540147657166e-33,23.411715848504304,134.30086180855693,534358.3291818023,54,9,2,18581,2163,3,0,54,9,2,18581,2163,0.148
20210605,2021-06-05T07:45:46.476441979Z,2021-06-05T07:45:46.478311955Z,44,6.586215348328337,9.274775186064096e-23,4.31693837541636e-12,15.992069538587334,267.09529551751496,535103.8603693723,62,6,1,19216,3346,7,0,62,6,1,19216,3346,0.097
20210609,2021-06-09T18:12:31.064988017Z,2021-06-09T18:12:31.066774010Z,84,7.839324723934167,1.587696275904239e-56,7.325522302813198e-46,19.164419734144214,85.65582468345166,537479.6889389516,99,2,0,22602,1029,2,0,99,2,0,22602,1029,0.131
20210615,2021-06-15T01:59:45.391456007Z,2021-06-15T01:59:45.393476009Z,74,3.9144808218745912,2.3925584614185993e-67,1.6558652277424152e-56,-7.39429190869689,100.57568748873771,535262.6527235449,85,6,3,16922,1286,3,0,85,6,3,16922,1286,0.106
20210615,2021-06-15T01:59:55.988251924Z,2021-06-15T01:59:55.990095973Z,50,2.3121854650884157,2.4551460705990363e-49,2.912556185894586e-38,-7.847753224828244,101.02787368942977,535398.449004507,65,6,0,16993,1455,3,0,65,6,0,16993,1455,0.108
20210616,2021-06-16T12:02:54.823201954Z,2021-06-16T12:02:54.825313925Z,82,6.261010302331613,6.916194492213541e-62,3.2870466667122165e-51,-7.982732747616173,104.0535807817048,545569.3352546156,109,6,2,18851,1102,2,0,109,6,2,18851,1102,0.110
20210620,2021-06-20T20:11:58.393521964Z,2021-06-20T20:11:58.394739985Z,22,1.3145827157128198,5.9308689482464036e-21,1.70102420711239e-09,-9.225976379332543,152.25637529628278,533973.6964120985,39,0,0,23593,904,3,0,39,0,0,23593,904,0.128
20210622,2021-06-22T23:50:59.288233995Z,2021-06-22T23:50:59.289990007Z,45,6.679365064839016,2.3054889842851155e-23,1.042389479260543e-12,13.240682567781807,268.120679796893,544161.1462995767,58,6,2,18962,3153,10,0,58,6,2,18962,3153,0.155
20210623,2021-06-23T22:03:25.226714015Z,2021-06-23T22:03:25.228271961Z,63,7.80145307693623,4.603563528893165e-36,1.7254357887513825e-25,8.630376865711213,283.8069568354118,543965.2952755034,71,10,3,18588,1257,7,0,71,10,3,18588,1257,0.099
20210623,2021-06-23T23:41:44.571957945Z,2021-06-23T23:41:44.573591947Z,54,9.370137796304318,2.2499342550542665e-24,7.36551476299644e-14,16.207442863070966,267.52215753545045,544336.3166117907,69,11,3,19535,3338,8,0,69,11,3,19535,3338,0.087
