date,start,stop,count,mean,sf,false_positive_per_year,lat,lon,alt,n,n_acd,n_acd_multi,n_bg,n_acd_bg,neighbors_10min,is_train,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20240603,2024-06-03T13:01:06.414037942Z,2024-06-03T13:01:06.415997982Z,41,1.1898580109003047,3.3002564615975837e-49,5.785815892945192e-38,12.894144202433827,68.45073899823905,522773.448343432,55,2,0,12922,755,7,0,55,2,0,12922,755,0.109
20240603,2024-06-03T22:31:11.320423960Z,2024-06-03T22:31:11.322185993Z,29,1.1824840735186561,1.8345164626742813e-31,3.289137501752608e-20,12.494340037207605,283.81508265321855,522295.2243514657,45,4,1,13333,1361,10,0,45,4,1,13333,1361,0.133
20240604,2024-06-04T11:13:48.796579897Z,2024-06-04T11:13:48.798523902Z,42,1.9720650492575187,1.1585185219157059e-41,1.2962301194008037e-30,5.498641328262091,97.47835503267409,523666.4386836171,59,0,0,13536,1069,8,0,59,0,0,13536,1069,0.102
20240606,2024-06-06T00:34:59.617097973Z,2024-06-06T00:34:59.618773937Z,30,1.4697638283376613,4.484681498392254e-30,7.528245599427518e-19,17.323765495426656,92.35102942662121,517710.97575934534,44,4,1,15437,1402,8,0,44,4,1,15437,1402,0.159
20240607,2024-06-07T07:14:07.205543994Z,2024-06-07T07:14:07.207011997Z,30,0.9756425922505293,2.2014536632505045e-35,5.986423819663656e-24,15.756812187178136,127.32106395765663,518093.7803347588,47,3,0,16748,1318,4,0,47,3,0,16748,1318,0.128
20240609,2024-06-09T20:16:06.636471927Z,2024-06-09T20:16:06.637735962Z,33,0.5519097448415492,3.315568156922435e-48,1.046140140893785e-36,-2.666286791510582,109.90456028650881,526952.7337358714,45,7,1,10826,1736,14,0,45,7,1,10826,1736,0.133
20240609,2024-06-09T21:01:10.052205979Z,2024-06-09T21:01:10.053759992Z,68,3.952582639129883,1.8201815090811033e-59,7.912090986285657e-49,8.662537945234776,271.93527677407747,516812.0204328239,76,2,1,10842,1215,27,0,76,2,1,10842,1215,0.118
20240610,2024-06-10T06:29:20.347119987Z,2024-06-10T06:29:20.348435997Z,55,2.1391444529991492,5.359939295224121e-58,5.675625479872049e-47,13.001153447847964,122.42005999774874,515773.6572484911,66,10,4,14006,1694,10,0,66,10,4,14006,1694,0.152
20240610,2024-06-10T08:10:02.424927949Z,2024-06-10T08:10:02.426607966Z,31,2.0228546482350644,3.308276686629951e-27,2.8219150912825864e-16,-1.7763728980636597,112.9281660000825,519477.38682999613,37,1,0,10689,783,12,0,37,1,0,10689,783,0.135
20240610,2024-06-10T16:49:04.933067917Z,2024-06-10T16:49:04.934465885Z,18,0.5561746678576357,6.992075681632952e-23,2.3976328896749362e-11,-7.1663280745697024,151.2227499846685,529503.4236859322,37,1,0,12153,1830,15,0,37,1,0,12153,1830,0.135
20240611,2024-06-11T08:44:35.068489968Z,2024-06-11T08:44:35.070217967Z,22,1.0485457550535708,4.216992782092878e-23,8.99186962062541e-12,7.681528650388718,283.9872431652737,525093.7183711051,39,6,1,14057,1613,4,0,39,6,1,14057,1613,0.128
20240611,2024-06-11T19:43:27.794129908Z,2024-06-11T19:43:27.795943915Z,27,0.9455407417611331,2.7456342246220098e-31,6.876406778807177e-20,-7.737686485372782,99.6952020372653,530417.410590601,48,5,2,14941,1362,12,0,48,5,2,14941,1362,0.125
20240614,2024-06-14T19:03:11.937203943Z,2024-06-14T19:03:11.939255893Z,92,6.42596729908599,2.0653773437060272e-72,8.147156094947194e-62,7.514256329278946,106.79573693660737,528053.8428456307,103,7,3,15736,769,4,0,103,7,3,15736,769,0.097
20240615,2024-06-15T06:47:40.627643942Z,2024-06-15T06:47:40.629485964Z,57,4.047025294766038,1.3059684809017925e-45,6.690307473819568e-35,12.461295308380128,85.7765659498167,512752.6326751471,72,14,10,12944,1243,3,0,72,14,10,12944,1243,0.097
20240615,2024-06-15T17:51:45.073942005Z,2024-06-15T17:51:45.076806008Z,42,6.918984765534596,2.5690317978238454e-20,8.869712897051623e-10,14.309137890062333,274.60109390666963,512404.72231969837,99,5,2,14460,1072,12,0,99,5,2,14460,1072,0.081
20240615,2024-06-15T17:51:45.089115977Z,2024-06-15T17:51:45.101256012Z,60,7.406934031024759,1.5162830274807601e-34,4.823613739905018e-24,14.308501529741289,274.60177970928197,512404.72688360215,454,20,6,14201,1052,12,0,454,20,6,14201,1052,0.095
20240616,2024-06-16T16:57:01.585701942Z,2024-06-16T16:57:01.587409973Z,29,1.0016150450310077,1.501820300788175e-33,3.038352171557842e-22,6.619007531335354,124.89172978817703,529560.372338748,39,1,0,12519,1531,7,0,39,1,0,12519,1531,0.128
20240617,2024-06-17T16:38:36.508009970Z,2024-06-17T16:38:36.509745955Z,26,0.6889881443352348,2.0245169748161383e-33,6.142566321101862e-22,-1.06035647952199,114.82423747553112,531475.5306667567,40,7,1,12942,1686,12,0,40,7,1,12942,1686,0.150
20240618,2024-06-18T11:34:41.702963948Z,2024-06-18T11:34:41.704635918Z,28,0.5789496626136311,8.454103423273276e-39,2.8989726861222404e-27,-10.178405347467661,175.75330736149908,533671.5947163105,42,6,0,12385,1963,6,0,42,6,0,12385,1963,0.167
20240619,2024-06-19T16:11:56.054534018Z,2024-06-19T16:11:56.055948019Z,19,0.7696388873703418,1.0508792162590619e-21,2.8591295226316854e-10,9.971219068727494,120.50558274233819,530471.4744383693,33,0,0,13175,850,6,0,33,0,0,13175,850,0.152
20240619,2024-06-19T17:53:58.057919979Z,2024-06-19T17:53:58.059786021Z,41,1.4421559204510397,8.30458904243154e-46,1.5976939088098715e-34,26.9267160524416,116.51598528715611,529340.8839960098,60,7,1,17533,1711,5,0,60,7,1,17533,1711,0.117
20240619,2024-06-19T19:28:26.670547962Z,2024-06-19T19:28:26.672533929Z,66,3.856648723461183,1.1602189300439483e-57,7.756994207920279e-47,25.84565230003357,90.77651994606018,529430.8950592041,85,3,1,15994,1130,4,0,85,3,1,15994,1130,0.094
20240620,2024-06-20T04:51:21.992049932Z,2024-06-20T04:51:21.993495941Z,37,1.239056045464255,1.971653423937502e-42,3.6602008633987478e-31,9.198755026613474,286.34511133002997,530719.8220221996,51,10,5,14456,1944,9,0,51,10,5,14456,1944,0.118
20240620,2024-06-20T12:48:11.616205930Z,2024-06-20T12:48:11.617639958Z,19,0.7152994404869903,2.5586376652307744e-22,6.72959420302334e-11,14.233258986465932,170.72757022402882,530657.9977086782,44,8,3,11878,1985,10,0,44,8,3,11878,1985,0.136
20240621,2024-06-21T09:13:06.777109920Z,2024-06-21T09:13:06.778235912Z,26,0.635458959372752,2.4008520433452518e-34,7.575255811425296e-23,-10.534867276995183,191.82789428412917,533098.4479043961,34,0,0,12643,1735,7,0,34,0,0,12643,1735,0.176
20240621,2024-06-21T22:47:30.685733973Z,2024-06-21T22:47:30.686594009Z,19,0.8644256845683697,9.800144872962982e-21,2.3425163362914165e-09,-8.119755108124018,184.72518939812184,513879.8492396593,22,2,1,13106,1559,8,0,22,2,1,13106,1559,0.136
20240622,2024-06-22T12:11:09.952863931Z,2024-06-22T12:11:09.954335927Z,19,0.6330757369120845,2.4061480453306e-23,7.030529174245687e-12,-1.1706153577363492,150.17750867387414,531674.036537993,27,1,0,11832,1195,12,0,27,1,0,11832,1195,0.111
20240624,2024-06-24T19:35:19.184560Z,2024-06-24T19:35:19.185176014Z,19,0.7895826013200683,1.7200041876282785e-21,5.12178814599427e-10,-0.1405173343372345,25.184299745867254,530522.9076935053,24,0,0,14522,1210,8,0,24,0,0,14522,1210,0.208
